0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
-63,-63,-68,-70,-71,-68,-70,-71,-67,-64,-66,0,-59,0,-63,-68,-72,-70,-71,-60,-70,-71,-69,-67,-71,-73,-65,-65,-67,-68,-63,-69,-62,-71,-68,-64,-74,-66,-68,0,-71,-70,0,-69,-71,-74,-72,-67,-73,-69,1.68,2.03
-70,-72,-74,-73,-63,-67,-73,-72,-67,-71,-68,-70,-73,-65,-64,-69,-71,-67,-69,-69,-67,-73,-74,-72,-72,-65,-73,-72,-71,-73,-74,-71,-70,-72,-73,-73,-73,-74,-73,-71,-73,-71,-73,-74,-73,-73,-72,-71,-74,-71,0.75,0.39
0,-72,-68,0,0,0,0,0,-68,-70,-73,-71,-68,-73,-66,-72,-72,-67,-70,-64,-71,-70,-69,-69,-73,-72,-66,-62,-67,-72,-66,-67,-71,-60,-61,-63,-68,-67,-64,-68,-65,-66,-66,-63,-71,-71,-73,-71,-73,-56,1.55,3.26
-72,-70,-74,-74,-72,-68,-72,-68,-72,-66,-68,-69,-72,-67,-66,-68,0,-67,-64,-71,-67,-63,-63,-72,-64,-63,-69,-66,-69,-71,-68,-59,-72,-66,-42,-65,-63,-68,-56,-67,-70,-63,-61,-61,-59,-58,-62,-61,-67,-62,3.05,4.4
-71,-70,-74,-69,-73,-72,-72,-73,-72,-72,-68,-71,-72,-72,-69,-66,-72,-71,-73,-70,-70,-72,-73,-71,0,-71,-68,-72,-72,-72,-70,-73,-72,-71,-73,-66,-70,-75,-73,-72,-72,-72,-71,-71,0,0,-72,-71,0,-73,0.42,3.35
-72,-71,-62,-68,-71,-66,-70,-66,-68,-71,-66,-52,-57,-62,-69,-64,-64,-70,0,0,-70,-61,-68,-68,-69,-63,-66,0,0,-67,-67,-64,-65,-70,-69,-73,-73,-67,-66,-67,-73,-71,-68,-68,-69,-70,-67,-70,-74,-72,1.81,1.45
-70,-72,-73,-71,-72,-70,-71,-72,-72,-73,0,-72,0,0,-73,-73,-71,-70,-72,-72,-65,-71,-73,-73,-72,-73,-74,0,-74,-73,-72,-73,-73,-74,-72,-73,-69,-74,-73,-71,-72,-72,-73,-72,-72,-72,-74,-73,-73,-74,0.1,0.39
-71,-68,-72,-72,-70,0,-73,-72,-69,-66,-71,-73,-71,-70,0,0,-71,-71,-61,-73,-69,-72,-69,-71,-72,-69,-73,-71,-69,-69,-71,-73,-72,-68,0,-70,-71,-74,-70,-73,-73,-72,-73,-72,-73,-68,-74,-72,-72,-71,1.05,1.05
-69,-73,-71,-74,-73,-72,-68,-73,-71,-71,-69,-72,-72,-69,-72,0,0,-73,-73,0,0,-74,-70,-71,0,-73,-71,-70,-74,0,0,-73,-67,-72,-73,-74,-72,-72,-73,-73,-71,-75,-72,-72,-72,-72,-72,-73,-71,-72,0.13,0.43
-62,-67,-70,-72,-69,-73,-73,-70,-70,-69,-73,-67,-66,-57,-69,-68,-65,-71,-66,-68,-70,-68,-64,-64,-70,-72,-66,-71,-74,-73,-67,-54,-67,-66,-71,-63,-71,-70,-66,-67,-68,-73,-68,-67,-71,-74,-69,-72,-73,-72,1.61,2.74
